temperature,humidity,gas_ppm,vibration,condition
2.1,70.5,194.64,1.1,normal
5.57,66.74,234.38,0.04,normal
4.02,65.53,189.77,0.97,normal
2.88,76.79,311.89,0.01,normal
4.79,71.81,181.1,1.44,normal
2.37,66.93,319.5,0.91,normal
4.92,75.72,344.62,0.57,normal
5.32,77.37,322.34,0.87,normal
2.18,69.56,207.88,0.12,normal
2.4,70.56,277.14,0.55,normal
2.84,70.34,337.33,0.97,normal
2.68,79.58,182.68,0.57,normal
4.75,69.39,214.86,6.84,abnormal
5.29,81.1,230.23,0.1,normal
5.51,71.29,958.81,0.59,abnormal
2.57,37.79,299.0,0.81,abnormal
3.71,76.67,222.4,1.5,normal
3.97,80.12,322.22,0.23,normal
4.72,76.93,226.95,0.89,normal
3.01,76.06,338.49,1.02,normal
5.54,80.02,303.72,0.51,normal
2.63,65.06,294.42,1.08,normal
-0.48,67.13,275.06,1.26,abnormal
2.8,72.48,182.31,1.43,normal
12.19,74.77,172.37,0.54,abnormal
2.96,92.41,263.47,0.12,abnormal
5.26,84.56,256.54,0.19,normal
5.79,68.3,255.53,0.91,normal
5.02,78.8,999.06,0.6,abnormal
3.49,82.99,240.3,0.37,normal
2.08,76.08,267.69,0.01,normal
2.24,66.35,156.28,0.5,normal
3.11,74.71,257.85,1.09,normal
3.89,80.69,1065.25,0.29,abnormal
3.72,73.47,243.4,1.09,normal
5.94,66.97,230.52,0.51,normal
-1.43,75.73,178.04,0.28,abnormal
5.5,66.51,311.6,1.28,normal
4.61,75.81,152.95,0.14,normal
2.95,73.13,246.27,1.3,normal
-0.86,84.71,203.04,1.18,abnormal
3.69,84.15,349.08,0.83,normal
2.62,70.93,343.74,0.87,normal
4.99,66.14,266.84,0.75,normal
-1.83,75.16,320.27,0.1,abnormal
5.45,73.08,338.32,0.85,normal
2.16,66.64,281.47,0.85,normal
3.04,78.39,212.84,0.4,normal
4.58,74.14,335.8,1.4,normal
4.48,76.26,170.0,0.81,normal
2.53,71.98,163.76,0.37,normal
3.75,75.86,210.5,1.48,normal
4.12,78.36,260.92,1.4,normal
5.51,70.29,327.94,1.11,normal
3.13,69.21,218.58,1.03,normal
