temperature,humidity,gas_ppm,vibration,light_lux,condition
6.53,82.8,203.71,0.33,141.33,abnormal
6.04,43.36,232.96,0.18,199.29,normal
3.51,93.68,146.84,0.59,89.22,abnormal
6.89,45.88,188.51,0.63,76.62,normal
5.46,45.39,146.54,0.87,223.26,normal
7.76,58.48,238.87,0.34,82.88,normal
6.08,46.56,170.62,0.34,247.88,normal
7.48,46.87,108.51,0.58,130.73,normal
7.21,44.45,170.06,0.78,124.01,normal
7.95,50.09,175.19,0.39,123.16,normal
5.11,29.13,241.43,0.56,53.13,abnormal
4.93,53.6,220.23,0.22,88.83,normal
2.72,53.51,167.09,0.58,235.26,normal
4.89,49.68,87.97,0.52,190.94,normal
3.61,40.75,222.56,0.21,111.52,normal
4.72,46.54,135.72,0.11,195.79,normal
7.32,56.35,160.9,0.85,154.9,normal
4.56,57.03,87.78,0.96,103.15,normal
7.19,56.05,128.19,0.77,587.14,abnormal
3.06,47.66,169.97,1.0,189.22,normal
5.37,52.1,221.94,0.76,51.35,normal
3.41,50.29,174.83,0.77,130.44,normal
5.34,93.26,211.9,0.42,241.11,abnormal
5.04,55.85,669.87,0.44,109.73,abnormal
4.96,46.76,137.34,0.74,183.86,normal
4.04,51.77,243.97,0.8,113.47,normal
5.68,43.56,101.91,0.96,232.1,normal
6.16,59.71,84.32,5.73,51.25,abnormal
2.94,46.14,188.66,0.59,225.68,normal
3.42,52.85,220.39,0.99,73.15,normal
3.9,44.17,135.08,0.48,154.36,normal
4.55,54.76,195.94,0.28,106.87,normal
5.7,47.72,185.39,0.72,78.81,normal
7.94,44.44,156.33,0.64,941.06,abnormal
4.48,54.94,102.06,0.85,1484.79,abnormal
7.52,45.76,241.45,0.07,93.69,normal
6.25,56.15,98.0,0.13,217.27,normal
5.64,57.57,189.68,0.63,174.81,normal
6.43,57.71,168.33,0.42,147.91,normal
5.32,46.9,170.53,0.77,130.81,normal
5.99,43.54,110.71,0.35,142.85,normal
7.84,51.24,125.16,0.14,80.95,normal
2.2,42.85,95.34,0.82,220.98,normal
4.29,53.15,120.99,0.1,60.62,normal
4.64,42.42,159.69,0.06,1187.48,abnormal
6.72,54.57,237.39,0.66,243.32,normal
13.26,43.45,178.03,0.57,172.96,abnormal
7.29,59.11,204.58,0.8,181.45,normal
5.84,44.73,173.61,0.24,83.31,normal
6.21,44.89,178.19,0.89,90.64,normal
3.85,48.36,163.15,0.64,197.42,normal
-4.03,47.86,122.01,0.02,116.52,abnormal
6.86,55.5,766.73,0.73,86.09,abnormal
6.95,57.21,154.6,0.19,84.87,normal
2.33,44.93,233.18,0.47,155.4,normal
2.68,49.81,232.22,0.33,165.92,normal
7.49,44.86,105.37,0.81,200.55,normal
6.76,47.94,214.4,0.86,159.6,normal
7.3,45.31,174.22,0.61,237.95,normal
5.02,57.27,663.02,0.68,188.66,abnormal
7.27,53.35,140.75,0.24,157.0,normal
7.03,55.01,249.58,5.07,90.4,abnormal
3.81,58.45,189.72,0.81,221.04,normal
2.66,41.33,221.98,0.16,92.01,normal
7.39,57.35,83.88,0.15,165.44,normal
6.38,51.74,139.2,0.02,110.56,normal
5.92,54.7,112.78,0.61,89.27,normal
4.49,49.4,115.77,0.59,68.59,normal
-2.61,52.67,204.4,0.12,81.48,abnormal
7.76,48.2,207.95,0.14,615.17,abnormal
6.04,42.32,145.04,0.1,232.66,normal
5.71,40.64,103.12,0.34,198.52,normal
4.63,44.97,237.33,0.75,92.82,normal
3.15,47.61,115.43,0.01,85.77,normal
5.99,46.03,168.57,0.15,207.0,normal
2.54,40.45,174.93,0.39,154.96,normal
2.05,53.3,246.94,2.6,107.34,abnormal
7.04,51.83,199.11,0.37,243.54,normal
7.04,41.32,206.16,0.66,211.07,normal
6.0,51.92,101.79,0.69,149.31,normal
2.58,59.38,100.17,0.28,134.77,normal
3.96,47.33,132.18,0.92,92.4,normal
7.65,57.76,212.35,0.03,248.02,normal
2.74,22.29,161.48,0.56,105.59,abnormal
5.72,48.86,202.66,0.09,135.24,normal
4.47,42.6,226.2,0.53,239.03,normal
3.92,59.06,106.96,0.88,176.35,normal
6.21,57.33,85.51,0.06,53.37,normal
7.43,59.13,175.95,0.77,140.29,normal
6.72,52.46,143.05,0.59,205.68,normal
3.71,56.87,240.78,0.25,218.32,normal
6.86,49.23,80.46,0.04,61.88,normal
6.7,42.45,115.23,0.81,197.34,normal
3.38,48.99,126.95,0.94,147.8,normal
2.26,40.26,96.56,0.73,123.25,normal
5.56,57.37,98.39,0.34,62.16,normal
5.05,48.17,97.28,0.05,192.52,normal
7.81,56.26,128.91,0.97,240.78,normal
3.2,48.01,99.41,0.2,53.49,normal
4.09,57.19,194.98,0.45,190.68,normal
4.98,44.09,175.41,0.33,249.95,normal
6.66,52.14,106.62,0.81,237.75,normal
