time,temperature,humidity
2016,32.60,58.20
4022,32.70,58.10
6028,32.60,58.10
8034,32.60,58.00
10040,32.60,58.10
12046,32.60,58.10
14052,32.60,58.00
16058,32.60,58.20
18064,32.60,58.10
20070,32.60,58.20
22076,32.70,58.10
24082,32.60,58.20
26088,32.60,58.20
28094,32.60,58.20
30100,32.60,58.20
32106,32.60,58.20
34112,32.60,58.20
36118,32.60,58.20
38124,32.60,58.20
40130,32.60,58.30
42136,32.60,58.20
44142,32.60,58.30
46148,32.60,58.20
48154,32.60,58.20
50160,32.60,58.20
52166,32.60,58.30
54172,32.60,58.20
56178,32.60,58.20
58184,32.60,58.20
60190,32.60,58.20
62196,32.60,58.20
64202,32.60,58.20
66208,32.60,58.10
68214,32.60,58.20
70220,32.60,58.20
72226,32.60,58.30
74232,32.60,58.30
76238,32.60,58.30
78244,32.60,58.40
80250,32.60,58.20
82256,32.60,58.20
84262,32.60,58.20
86268,32.60,58.20
88274,32.60,58.10
90280,32.60,58.10
92286,32.60,58.10
94292,32.60,58.10
96298,32.60,58.10
98304,32.60,58.00
100310,32.60,58.10
102316,32.60,58.10
104322,32.60,58.20
2026-05-25 10:41:15,37.70,40.10
2026-05-25 10:41:17,37.70,40.30
2026-05-25 10:41:19,37.70,41.30
2026-05-25 10:41:21,37.70,41.30
2026-05-25 10:41:23,37.70,41.70
2026-05-25 10:41:25,37.80,39.90
2026-05-25 10:41:27,37.70,39.00
2026-05-25 10:41:29,37.70,39.70
2026-05-25 10:41:31,37.70,38.80
2026-05-25 10:41:33,37.70,38.00
2026-05-25 10:41:35,37.70,37.60
2026-05-25 10:41:37,37.70,37.60
2026-05-25 10:41:39,37.70,37.50
2026-05-25 10:41:41,37.60,37.30
2026-05-25 10:41:43,37.70,37.70
2026-05-25 10:41:45,37.70,37.60
2026-05-25 10:41:47,37.70,37.70
2026-05-25 10:41:49,37.70,37.40
2026-05-25 10:41:51,37.70,37.20
2026-05-25 10:41:53,37.70,37.10
2026-05-25 10:41:55,37.70,36.90
2026-05-25 10:41:57,37.70,37.00
2026-05-25 10:41:59,37.70,36.60
2026-05-25 10:42:01,37.70,36.70
2026-05-25 10:42:03,37.70,37.00
2026-05-25 10:42:05,37.70,38.20
2026-05-25 10:42:07,37.70,38.80
2026-05-25 10:42:09,37.70,38.80
2026-05-25 10:42:11,37.70,38.70
2026-05-25 10:42:13,37.80,38.70
2026-05-25 10:42:15,37.80,39.30
2026-05-25 10:42:17,37.80,39.20
2026-05-25 10:42:19,37.80,37.80
2026-05-25 10:42:21,37.80,37.40
2026-05-25 10:42:23,37.80,37.70
2026-05-25 10:42:25,37.80,37.20
2026-05-25 10:42:27,37.80,36.90
2026-05-25 10:42:29,37.70,37.60
2026-05-25 10:42:31,37.80,37.70
2026-05-25 10:42:33,37.70,37.80
2026-05-25 10:42:35,37.80,38.70
2026-05-25 10:42:37,37.80,37.70
2026-05-25 10:42:39,37.80,37.40
2026-05-25 10:42:41,37.80,37.30
2026-05-25 10:42:43,37.80,37.30
2026-05-25 10:42:45,37.70,36.80
2026-05-25 10:42:47,37.80,36.80
2026-05-25 10:42:49,37.70,36.80
2026-05-25 10:42:51,37.80,36.70
2026-05-25 10:42:53,37.80,36.40
2026-05-25 10:42:55,37.70,36.40
2026-05-25 10:42:57,37.80,36.30
2026-05-25 10:42:59,37.70,36.10
2026-05-25 10:43:01,37.70,35.70
2026-05-25 10:43:03,37.80,35.30
2026-05-25 10:43:05,37.70,35.30
2026-05-25 10:43:07,37.70,35.20
2026-05-25 10:43:09,37.70,35.30
2026-05-25 10:43:11,37.70,35.20
2026-05-25 10:43:13,37.80,35.30
2026-05-25 10:43:15,37.70,35.40
2026-05-25 10:43:17,37.70,35.40
2026-05-25 10:43:19,37.70,35.30
2026-05-25 10:43:21,37.70,35.20
2026-05-25 10:43:23,37.70,35.30
2026-05-25 10:43:25,37.70,35.30
2026-05-25 10:43:27,37.70,35.60
2026-05-25 10:43:29,37.70,35.80
2026-05-25 10:43:31,37.70,35.90
2026-05-25 10:43:33,37.80,36.50
2026-05-25 10:43:35,37.70,36.70
2026-05-25 10:43:37,37.70,36.30
2026-05-25 10:43:39,37.70,36.10
2026-05-25 10:43:41,37.70,36.10
2026-05-25 10:43:43,37.70,36.20
2026-05-25 10:43:45,37.70,36.10
2026-05-25 10:43:47,37.70,35.80
2026-05-25 10:43:49,37.70,35.70
2026-05-25 10:43:51,37.70,35.50
2026-05-25 10:43:53,37.70,35.40
2026-05-25 10:43:55,37.70,35.30
2026-05-25 10:43:57,37.70,35.30
2026-05-25 10:43:59,37.70,35.20
2026-05-25 10:44:01,37.70,35.20
2026-05-25 10:44:03,37.70,35.30
2026-05-25 10:44:05,37.70,35.50
2026-05-25 10:44:07,37.80,35.40
2026-05-25 10:44:09,37.70,35.50
2026-05-25 10:44:11,37.70,35.50
2026-05-25 10:44:13,37.70,35.50
2026-05-25 10:44:15,37.80,35.60
2026-05-25 10:44:17,37.70,35.70
2026-05-25 10:44:19,37.80,35.70
2026-05-25 10:44:21,37.70,35.80
2026-05-25 10:44:23,37.80,35.70
2026-05-25 10:44:25,37.80,35.60
2026-05-25 10:44:27,37.70,35.60
2026-05-25 10:44:29,37.80,35.60
2026-05-25 10:44:31,37.70,35.40
2026-05-25 10:44:33,37.70,35.70
2026-05-25 10:44:35,37.70,35.80
2026-05-25 10:44:37,37.70,36.10
2026-05-25 10:44:39,37.70,36.20
2026-05-25 10:44:41,37.70,36.20
2026-05-25 10:44:43,37.70,36.70
2026-05-25 10:44:45,37.70,36.60
2026-05-25 10:44:47,37.80,36.10
2026-05-25 10:44:49,37.70,36.00
2026-05-25 10:44:51,37.70,36.10
2026-05-25 10:44:53,37.80,37.10
2026-05-25 10:44:56,37.70,36.90
2026-05-25 10:44:58,37.70,37.10
2026-05-25 10:45:00,37.70,37.30
2026-05-25 10:45:02,37.70,37.30
2026-05-25 10:45:04,37.80,36.70
2026-05-25 10:45:06,37.80,36.30
2026-05-25 10:45:08,37.80,35.80
2026-05-25 10:45:10,37.90,35.70
2026-05-25 10:45:12,37.90,35.50
2026-05-25 10:45:14,38.00,35.50
2026-05-25 10:45:16,38.00,35.60
2026-05-25 10:45:18,38.00,35.50
2026-05-25 10:45:20,38.10,35.40
2026-05-25 10:45:22,38.10,35.40
2026-05-25 10:45:24,38.20,35.30
2026-05-25 10:45:26,38.20,35.10
2026-05-25 10:45:28,38.20,35.00
2026-05-25 10:45:30,38.30,34.70
2026-05-25 10:45:32,38.30,34.70
2026-05-25 10:45:34,38.30,34.40
2026-05-25 10:45:36,38.40,34.30
2026-05-25 10:45:38,38.40,34.20
2026-05-25 10:45:40,38.40,34.30
2026-05-25 10:45:42,38.40,34.20
2026-05-25 10:45:44,38.40,34.20
2026-05-25 10:45:46,38.50,34.10
2026-05-25 10:45:48,38.60,34.00
2026-05-25 10:45:50,38.60,34.20
2026-05-25 10:45:52,38.50,34.60
2026-05-25 10:45:54,38.60,34.80
2026-05-25 10:45:56,38.60,34.60
2026-05-25 10:45:58,38.60,34.50
2026-05-25 10:46:00,38.60,34.60
2026-05-25 13:58:58,39.10,28.00
2026-05-25 13:59:00,39.10,28.00
2026-05-25 13:59:02,39.20,27.80
2026-05-25 13:59:04,39.20,28.00
2026-05-25 13:59:06,39.20,27.90
2026-05-25 13:59:08,39.20,27.80
2026-05-25 13:59:10,39.20,27.90
2026-05-25 13:59:12,39.20,27.80
2026-05-25 13:59:14,39.20,27.90
2026-05-25 13:59:16,39.20,27.80
2026-05-25 13:59:18,39.20,27.70
2026-05-25 13:59:20,39.30,27.80
2026-05-25 13:59:22,39.20,27.70
2026-05-25 13:59:24,39.20,27.70
2026-05-25 13:59:26,39.30,27.80
2026-05-25 13:59:28,39.30,28.00
2026-05-25 13:59:30,39.30,27.90
2026-05-25 13:59:32,39.30,27.80
2026-05-25 13:59:34,39.30,27.90
2026-05-25 13:59:36,39.30,28.00
2026-05-25 13:59:38,39.30,28.10
2026-05-25 13:59:40,39.30,28.10
2026-05-25 13:59:42,39.30,27.80
2026-05-25 13:59:44,39.30,27.80
2026-05-25 13:59:46,39.30,27.90
2026-05-25 13:59:48,39.30,27.90
2026-05-25 13:59:50,39.30,27.90
2026-05-25 13:59:52,39.30,27.80
2026-05-25 13:59:54,39.30,28.90
2026-05-25 13:59:56,39.30,38.40
2026-05-25 13:59:58,39.30,38.60
2026-05-25 14:00:00,39.20,43.00
2026-05-25 14:00:02,39.20,46.60
2026-05-25 14:00:04,39.20,49.70
